majorSeq,major_name,공통과목,일반선택과목,진로선택과목,전문교과Ⅰ,전문교과Ⅱ,,,,,,,,,,,,,,,,,,,
59,교육학과,"국어, 영어, 사회, 윤리","사회교과 : 생활과 윤리, 윤리와 사상<br>교양교과 : 철학, 심리학, 교육학","사회문제 탐구, 고전과 윤리","현대 세계의 변화, 사회 탐구 방법 또는 사회과제 연구",복지 서비스의 기초,,,,,,,,,,,,,,,,,,,
61,교통공학과,"수학, 사회, 과학, 기술ㆍ가정","수학교과 : 수학ⅠㆍⅡ, 미적분, 확률과 통계<br>과학교과 : 물리학Ⅰ, 화학Ⅰ<br>사회교과 : 한국지리, 세계지리, 경제, 사회문화<br>기술ㆍ가정교과 : 기술ㆍ가정, 정보","실용 수학, 기하, 수학과제 탐구, 물리학Ⅱ, 화학Ⅱ, 생활과 과학, 융합과학, 공학 일반, 사회문제 탐구","심화수학ⅠㆍⅡ, 고급 수학ⅠㆍⅡ, 고급 물리학, 물리학 실험, 고급 화학, 화학 실험, 정보과학, 융합과학탐구, 과학과제연구, 생태와 환경, 지역이해, 사회과제 연구","자동 제어 시스템 운영, 프로그래밍, 빅데이터 분석",,,,,,,,,,,,,,,,,,,
63,윤리교육과,"영어, 한문, 사회, 윤리","사회교과 : 생활과 윤리, 윤리와 사상<br>교양교과 : 철학, 심리학, 교육학","한문Ⅱ, 고전과 윤리",사회 탐구 방법 또는 사회과제 연구,,,,,,,,,,,,,,,,,,,,
64,윤리학과,"사회, 교양, 과학","사회교과 : 윤리와 사상, 생활과 윤리, 사회문화, 세계사<br>교양교과 : 철학, 논리학, 심리학, 종교학, 보건, 환경, 논술<br>과학교과 : 물리Ⅰ, 화학Ⅰ, 생명과학Ⅰ, 지구과학Ⅰ","사회문제 탐구, 고전과 윤리, 과학사, 생활과 과학, 고전 읽기","사회과제 연구, 사회탐구 방법, 현대세계의 변화, 비교 문화, 세계 문제와 미래 사회",,,,,,,,,,,,,,,,,,,,
67,국악학과,"음악, 윤리","예술교과 : 음악<br>사회교과 : 생활과 윤리, 윤리와 사상<br>교양교과 : 철학, 심리학, 교육학","음악 연주, 음악 감상과 비평","음악이론, 음악사, 시창ㆍ청음, 음악 전공 실기",음악 콘텐츠 제작,,,,,,,,,,,,,,,,,,,
68,국어교육과,"국어, 사회, 윤리","국어교과 : 화법과 작문, 독서, 언어와 매체, 문학<br>사회교과 : 생활과 윤리, 윤리와 사상<br>교양교과 : 철학, 심리학, 교육학","실용 국어, 심화 국어, 고전 읽기, 사회문제 탐구, 고전과 윤리","현대 세계의 변화, 사회 탐구 방법 또는 사회과제 연구",복지 서비스의 기초,,,,,,,,,,,,,,,,,,,
69,국어국문학과,"국어, 사회, 한문, 예술","국어교과 : 화법과 작문, 문학, 언어와 매체, 독서<br>사회교과 : 사회ㆍ문화, 생활과 윤리, 윤리와 사상, 세계사<br>예술ㆍ교양교과 : 음악, 미술, 연극, 철학, 한문Ⅰ, 심리학, 종교학","실용 국어, 심화 국어, 고전 읽기, 사회문제 탐구, 고전과 윤리, 음악ㆍ미술 감상 비평","현대 문학 감상, 고전 문학 감상, 문예 창작 입문, 문학 개론, 문학과 매체, 시 창작, 소설 창작, 극 창작",,,,,,,,,,,,,,,,,,,,
70,국제통상학과,"영어, 사회, 생활ㆍ교양","영어교과 : 영어 회화, 영어I, 영어 독해와 작문, 영어Ⅱ<br>사회교과 : 한국지리, 세계지리, 경제, 사회ㆍ문화, 생활과 윤리<br>생활ㆍ교양교과 : 제2외국어I 과목, 심리학, 교육학, 실용 경제","실용 수학, 실용 영어, 영어권 문화, 진로 영어, 영미 문학 읽기, 사회문제 탐구, 창의 경영, 지식 재산 일반, 제2외국어Ⅱ 과목","정보과학, 국제 정치, 국제 경제, 국제법, 지역 이해, 비교 문화, 세계 문제와 미래 사회, 사회 탐구 방법 및 사회과제 연구","커뮤니케이션, 국제 상무, 기업과 경영, 비즈니스 영어",,,,,,,,,,,,,,,,,,,
72,무역학과,"수학, 영어, 사회, 기술ㆍ가정, 생활ㆍ교양","수학교과 : 수학I, Ⅱ, 미적분, 확률과 통계<br>영어교과 : 영어 독해와 작문<br>사회교과 : 한국지리, 세계지리, 사회ㆍ문화, 경제, 정치와 법, 생활과 윤리<br>기술ㆍ가정교과 : 정보<br>생활ㆍ교양교과 : 제2외국어I 과목, 실용 경제","실용 수학, 경제 수학, 수학 과제 탐구, 실용 영어, 진로 영어, 사회문제 탐구, 지식 재산 일반, 제2외국어Ⅱ 과목","심화 수학I, 정보과학, 국제 경제, 국제법, 지역 이해, 세계 문제와 미래 사회, 국제 관계와 국제기구, 사회 탐구 방법 및 사회과제 연구","상업경제, 유통 일반, 국제 상무, 비즈니스 영어, 커뮤니케이션, 무역 금융 업무, 전자 상거래 일반, 수출입 관리, 원산지 관리",,,,,,,,,,,,,,,,,,,
74,국제문화정보학과,"영어, 사회, 생활ㆍ교양","영어교과 : 영어 회화, 영어Ⅰ, 영어 독해와 작문, 영어Ⅱ<br>사회교과 : 한국지리, 세계지리, 세계사, 동아시아사, 경제, 사회ㆍ문화, 생활과 윤리, 윤리와 사상<br>생활ㆍ교양교과 : 제2외국어Ⅰ 과목, 철학, 논리학, 심리학, 종교학","여행지리, 사회문제 탐구, 제2외국어Ⅱ 과목","국제 정치, 국제 경제, 국제법, 지역 이해, 비교 문화, 세계 문제와 미래 사회, 국제 관계와 국제기구, 현대 세계의 변화, 사회 탐구 방법 및 사회과제 연구","커뮤니케이션, 비즈니스 영어",,,,,,,,,,,,,,,,,,,
